Label;indegree;outdegree;Degree;modularity_class;eigencentrality;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;X;Y;Size;Color
AIADigibuy;0;2;2;158;0;1;1;1;0;0.578419;0.36084;0.005848;"#853b22"
sgkxt;1;0;1;437;0.004568;0;0;0;0;0.674849;0.32424;0;"#00d0d2"
PrasetyaNanda20;1;0;1;437;0.004568;0;0;0;0;0.683694;0.342945;0;"#00d0d2"
wasleee;0;2;2;54;0;1;1;1;0;0.193565;0.739078;0.005848;"#c0c0c0"
BudiWaludin;1;0;1;54;0.004568;0;0;0;0;0.195831;0.752654;0;"#c0c0c0"
BMRORAA;0;1;1;718;0;1;1;1;0;0.848795;0.337914;0;"#c0c0c0"
ssunwuo;1;0;1;718;0.004568;0;0;0;0;0.847231;0.351675;0;"#c0c0c0"
andy_dodot;0;4;4;536;0;1;1;1;0;0.508637;0.369212;0.017544;"#ffa584"
syueb2011;0;8;8;536;0;1;1;1;0;0.514769;0.483667;0.040936;"#ffa584"
Saimsib;0;3;3;320;0;2;0.714286;0.8;0;0.125625;0.520121;0.011696;"#c0c0c0"
Dwynna_Win;1;0;1;320;0.004568;0;0;0;0;0.115924;0.507038;0;"#c0c0c0"
Areaarsenal;0;3;3;246;0;2;0.8;0.875;0;0.53722;0.483743;0.011696;"#35b3ff"
2dibukaB;0;1;1;709;0;1;1;1;0;0.31728;0.136579;0;"#c0c0c0"
samin_tul;0;1;1;120;0;1;1;1;0;0.17941;0.480419;0;"#005c50"
giyjyny;0;2;2;337;0;1;1;1;0;0.35439;0.865312;0.005848;"#5d426a"
alfathindonesia;2;0;2;536;0.011459;0;0;0;0;0.595333;0.219732;0.005848;"#ffa584"
tRawDam;0;6;6;536;0;1;1;1;0;0.498958;0.351419;0.02924;"#ffa584"
Agust2005;1;0;1;536;0.004568;0;0;0;0;0.492386;0.275952;0;"#ffa584"
Alam_Malam70;1;0;1;536;0.004568;0;0;0;0;0.486919;0.287448;0;"#ffa584"
herwatoe;0;4;4;164;0;1;1;1;0;0.43957;0.338547;0.017544;"#c0c0c0"
ArezReja;0;1;1;320;0;2;0.6;0.666667;0;0.141732;0.58563;0;"#c0c0c0"
MikaelHaem;0;2;2;719;0;1;1;1;0;0.130268;0.287502;0.005848;"#c0c0c0"
