Source,Target
wongjujur88,PngAdilnR4kyt
irfanov,tempodotco
yipyipow,prabowo
Anafatma23,kegblgnunfaedh
johnjayje,detikcom
caramelise93,gmail_great
mahECHAlazuardi,CNNIndonesia
merahdelimas,JukiHoki
RomitsuT,NouraFayruz
RomitsuT,prabowo
fikrialmadjid,txtdrimedia
ardelduleo,mwontea
kacariburaya,OxLaMasia
QalbuBahasa,Rocky_Antonie
QalbuBahasa,GM_Warrios
aagunawan_,musksigit
aagunawan_,prabowo
aagunawan_,PresidenKopi
Kwangwung5,Dahnilanzar
Kwangwung5,satriapandawaa
Kwangwung5,prabowo
nizaradipati,EXCOPARTAIBURUH
Irsyafruddin1,Mdy_Asmara1701
winartojbs,detikcom
nanonux,TirtoID
OrangSawah23,txtdrimedia
vwexcellent,willsarana
cilarieru,txtdrimedia
kris_16m,AbanggSayur
akoesukasate,narkosun
tjendoldawet,txtdrimedia
imdadhammad,narkosun
DeddyDjumadi4,musksigit
CSI_62,KemenkeuRI
CSI_62,smindrawatii
CSI_62,prabowo
Ms4Dean,detikcom
musksigit,prabowo
musksigit,PresidenKopi
ade_siera,tempodotco
democcaroine,gummyyusi
mrEko_84,Piyusaja2
entroks,txtdrimedia
RahyantoZ,vanc1Bozz
RahyantoZ,xineibn
Abou_Omar20,Dahnilanzar
Abou_Omar20,prabowo
phenty_pen,CNNIndonesia
Grivod,CNNIndonesia
Grivod,kompascom
caecidio,pejabrut
repor2425,Abou_Omar20
repor2425,Dre_Dyandra
repor2425,tekarok007
wisangunivers,detikcom
fajriot_,itsquaileggs
ZerostartF,CNNIndonesia
HalomoanHa91790,Prabowo
louveyrinth,atchoomu
lemonlyme44,takeamoon
amelcewaw,prabowo
amelcewaw,PresidenKopi
ekasaputrayasa,adrianfahreza_
ekasaputrayasa,raharjinho
Little_meong,detikcom
anyingpukimak,pesonaindonesia
KarundengUsi,CNNIndonesia
roman_kherzakov,PRFMnews
ImRoseWhoRU,bopduana
KarundengUsi,kompascom
lanangbiasa,DPR_RI
lanangbiasa,rahmatsn
lanangbiasa,Ndons_Back
withmeeta,sakanaac
yudi_cctv,tribunjateng
DatuLiang,CNNIndonesia
JuxstLumos,detikcom
ichsanfauzi6,NOTASLIMBOY
Alfdelyn,RD_4WR1212
Alfdelyn,gibran_tweet
BerthaAstu32435,JhonSitorus_18
dullahbiasaaja,CNNIndonesia
MasterzCV,blank0429
MasterzCV,matchacorp
AhmadMa47193612,asumsico
tsumaww,soobwin
perdatam33,prabowo
perdatam33,PresidenKopi
andr_cnz,sidsity
Gargarinnn,dimsumoishiiy
palingayudewe,BudiBukanIntel
Danatakada,CNNIndonesia
RieHan74,karimakayyim
Fufufu812428,geloraco
metaslavesz,katakuening
anyingpukimak,prabowo
anyingpukimak,tempodotco
kkl988,geloraco
alin_raihani,Dahnilanzar
alin_raihani,prabowo
RakhaRakha45,eter_nia
RakhaRakha45,CallictusK
lukmanihsan,denismalhotra
RakhaRakha45,zandaayaa
RakhaRakha45,eter_nia
RakhaRakha45,CallictusK
langit_biru78,WagimanDeep212_
langit_biru78,Balola72
langit_biru78,ristoooooooo
Ges_Sit,mymaymar
Ges_Sit,geloraco
kacariburaya,antokarief
HaubAkalam,NasbiHasan
HaubAkalam,BurhanMuhtadi
